topic,file,title,year,source_url,why_it_matters
surveys_overviews,../papers/00_surveys_overviews/blekos_2024_qaoa_variants_review.pdf,A review on Quantum Approximate Optimization Algorithm and its variants,2024,https://arxiv.org/abs/2306.09198,QAOA variants and limitations overview
surveys_overviews,../papers/00_surveys_overviews/cerezo_2021_variational_quantum_algorithms_review.pdf,Variational quantum algorithms,2021,https://arxiv.org/abs/2012.09265,General VQA background and trainability issues
surveys_overviews,../papers/00_surveys_overviews/phillipson_bausch_2021_quantum_annealing_industry_review.pdf,Portfolio optimisation using the D-Wave quantum annealer,2021,https://arxiv.org/abs/2112.07491,Industry-facing quantum annealing context
surveys_overviews,../papers/00_surveys_overviews/sharma_2026_quantum_annealing_combinatorial_optimization_review.pdf,Quantum annealing and combinatorial optimization review,2026,https://arxiv.org/abs/2602.03101,Recent annealing overview for combinatorial optimization
surveys_overviews,../papers/00_surveys_overviews/hawashin_2026_variational_annealing_quantum_combinatorial_optimization_review.pdf,Variational and annealing quantum algorithms for combinatorial optimization review,2026,https://arxiv.org/abs/2603.19117,Recent comparison of VQA and annealing approaches
qubo_ising,../papers/01_qubo_ising_formulations/glover_kochenberger_du_2018_qubo_tutorial.pdf,A Tutorial on Formulating and Using QUBO Models,2018,https://optimization-online.org/2018/11/6923/,Core QUBO modeling tutorial
qubo_ising,../papers/01_qubo_ising_formulations/lucas_2014_ising_formulations_np_problems.pdf,Ising formulations of many NP problems,2014,https://www.frontiersin.org/articles/10.3389/fphy.2014.00005/full,Canonical Ising mappings for NP problems
qubo_ising,../papers/01_qubo_ising_formulations/dattani_2019_quadratization_discrete_optimization_quantum_mechanics.pdf,Quadratization in discrete optimization and quantum mechanics,2019,https://arxiv.org/abs/1901.04405,Reducing higher-order terms to quadratic form
qubo_ising,../papers/01_qubo_ising_formulations/desantis_2024_optimized_qubo_formulation_methods.pdf,Optimized QUBO formulation methods for quantum computing,2024,https://arxiv.org/abs/2406.07681,QUBO size and coefficient optimization
qaoa_vqa,../papers/02_qaoa_vqa_algorithms/farhi_goldstone_gutmann_2014_qaoa.pdf,A Quantum Approximate Optimization Algorithm,2014,https://arxiv.org/abs/1411.4028,Original QAOA paper
qaoa_vqa,../papers/02_qaoa_vqa_algorithms/farhi_goldstone_gutmann_2014_qaoa_bounded_occurrence_constraint.pdf,A Quantum Approximate Optimization Algorithm Applied to a Bounded Occurrence Constraint Problem,2014,https://arxiv.org/abs/1412.6062,QAOA on constraint satisfaction problems
qaoa_vqa,../papers/02_qaoa_vqa_algorithms/hadfield_2019_quantum_alternating_operator_ansatz.pdf,From the Quantum Approximate Optimization Algorithm to a Quantum Alternating Operator Ansatz,2019,https://arxiv.org/abs/1709.03489,Constrained mixers and feasible-subspace search
qaoa_vqa,../papers/02_qaoa_vqa_algorithms/zhou_2020_qaoa_performance_mechanism.pdf,Quantum Approximate Optimization Algorithm: Performance Mechanism and Implementation on Near-Term Devices,2020,https://arxiv.org/abs/1812.01041,QAOA practical implementation and parameter behavior
qaoa_vqa,../papers/02_qaoa_vqa_algorithms/moll_2018_quantum_optimization_variational_algorithms_near_term.pdf,Quantum optimization using variational algorithms on near-term quantum devices,2018,https://arxiv.org/abs/1710.01022,Near-term variational optimization workflow
qaoa_vqa,../papers/02_qaoa_vqa_algorithms/egger_2021_warm_starting_quantum_optimization.pdf,Warm-starting quantum optimization,2021,https://arxiv.org/abs/2009.10095,Use continuous relaxations or classical solutions to initialize QAOA
